Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
0	0	1	30	6	0	0	0	29	6	1.11	0.547	Begin	End	1	1	19.37	3.141
1	2	1	33	5	2.03	-0.9932	0.4966	27	7	0.8035	0.3971	Begin	End	1	1	19.37	3.141
2	4	1	32	5	4.047	-0.4966	0.4966	28	7	0.4966	0.2473	Begin	End	1	1	19.37	3.141
3	6	1	31	5	6.047	-0.4966	0.9932	28	8	0.2483	0.1247	Begin	End	1	1	19.37	3.141
4	8	1	32	6	8.03	-0.4966	0.9932	28	8	0.7449	0.374	Begin	End	1	1	19.37	3.141
5	10	1	27	8	10.03	-1.986	0.9932	25	8	0.9932	0.4945	Begin	End	1	1	19.37	3.141
6	12	1	26	8	12.05	-2.483	0.9932	24	8	0.2483	0.1236	Begin	End	1	1	19.37	3.141
7	14	1	28	6	14.05	-2.483	0.9932	24	8	0	0	Begin	End	1	1	19.37	3.141
8	16	1	27	6	16.03	-2.483	0.9932	24	8	0.7449	0.3725	Begin	End	1	1	19.37	3.141
9	18	1	25	7	18.05	-3.973	0.9932	21	8	0.7449	0.374	Begin	End	1	1	19.37	3.141
10	20	1	25	6	20.01	-3.973	0.9932	21	8	0	0	Begin	End	1	1	19.37	3.141
11	22	1	23	7	22.06	-3.973	0.9932	21	8	0.5552	0.2776	Begin	End	1	1	19.37	3.141
12	24	1	23	5	24.01	-4.47	0	20	6	0.9064	0.4532	Begin	End	1	1	19.37	3.141
13	26	1	21	8	26.06	-3.973	0.4966	21	7	0.3512	0.1749	Begin	End	1	1	19.37	3.141
14	28	1	22	7	28.03	-3.973	0.4966	21	7	0.2483	0.1252	Begin	End	1	1	19.37	3.141
15	30	1	24	5	30.03	-3.973	0	21	6	0.5995	0.2985	Begin	End	1	1	19.37	3.141
16	32	1	21	5	32.05	-3.476	-0.4966	22	5	1.136	0.5658	Begin	End	1	1	19.37	3.141
17	34	1	20	5	34.05	-4.966	0	19	6	1.488	0.7469	Begin	End	1	1	19.37	3.141
18	36	1	19	4	36.03	-5.959	0.9932	17	8	1.053	0.529	Begin	End	1	1	19.37	3.141
19	38	1	18	5	38.03	-6.456	0.4966	16	7	0.9064	0.4532	Begin	End	1	1	19.37	3.141
20	40	1	18	5	40.03	-5.463	0	18	6	0.9064	0.4532	Begin	End	1	1	19.37	3.141
21	42	1	16	4	42.03	-5.959	-0.4966	17	5	0.5995	0.2997	Begin	End	1	1	19.37	3.141
22	44	1	18	6	44.03	-5.959	0	17	6	0.2483	0.1236	Begin	End	1	1	19.37	3.141
23	46	1	18	4	46.05	-5.959	0	17	6	0.3512	0.1763	Begin	End	1	1	19.37	3.141
24	48	1	23	4	48.01	-5.463	0.4966	18	7	0.8478	0.4257	Begin	End	1	1	19.37	3.141
25	50	1	22	6	50.03	-4.47	0.4966	20	7	0.7449	0.371	Begin	End	1	1	19.37	3.141
26	52	1	26	6	52.03	-3.973	0.4966	21	7	0.2483	0.1236	Begin	End	1	1	19.37	3.141
27	54	1	26	5	54.05	-3.973	0.4966	21	7	0.3512	0.1756	Begin	End	1	1	19.37	3.141
28	56	1	15	9	56.03	-4.47	0.9932	20	8	0.7023	0.3541	Begin	End	1	1	19.37	3.141
29	58	1	24	7	58.01	-3.973	0.4966	21	7	0.7023	0.3497	Begin	End	1	1	19.37	3.141
30	60	1	18	8	60.05	-3.476	0.9932	22	8	0.5995	0.2973	Begin	End	1	1	19.37	3.141
31	62	1	22	8	62.05	-2.98	0.9932	23	8	0.4966	0.2483	Begin	End	1	1	19.37	3.141
0	0	3	398	7	0	0	0	399	10	0.9932	0.4893	Begin	End	3	3	13.27	1.791
1	2	3	398	5	2.03	0	-0.9932	399	8	0.7449	0.3681	Begin	End	3	3	13.27	1.791
2	4	3	400	4	4.047	0.4966	-0.9932	400	8	0.4966	0.2473	Begin	End	3	3	13.27	1.791
3	6	3	401	6	6.047	0.9932	-0.9932	401	8	0.2483	0.1247	Begin	End	3	3	13.27	1.791
4	8	3	401	6	8.03	0.9932	-0.9932	401	8	0.5552	0.2788	Begin	End	3	3	13.27	1.791
5	10	3	398	3	10.03	0	-1.49	399	7	0.9064	0.4513	Begin	End	3	3	13.27	1.791
6	12	3	396	3	12.05	-0.4966	-0.9932	398	8	0.5995	0.2985	Begin	End	3	3	13.27	1.791
7	14	3	396	3	14.05	-0.9932	-0.9932	397	8	0.4966	0.2494	Begin	End	3	3	13.27	1.791
8	16	3	397	3	16.03	-0.4966	-0.9932	398	8	0.4966	0.2483	Begin	End	3	3	13.27	1.791
9	18	3	398	4	18.05	0	-0.9932	399	8	0.5995	0.3009	Begin	End	3	3	13.27	1.791
10	20	3	400	5	20.01	0.4966	-1.49	400	7	0.5995	0.2985	Begin	End	3	3	13.27	1.791
11	22	3	399	3	22.06	0.4966	-1.986	400	6	0.4966	0.2483	Begin	End	3	3	13.27	1.791
12	24	3	401	11	24.01	0.4966	-1.49	400	7	0.5995	0.2997	Begin	End	3	3	13.27	1.791
13	26	3	400	3	26.06	0.9932	-0.9932	401	8	0.5995	0.2985	Begin	End	3	3	13.27	1.791
14	28	3	400	7	28.03	0.4966	-0.9932	400	8	0.5995	0.3023	Begin	End	3	3	13.27	1.791
15	30	3	400	5	30.03	0.9932	-1.49	401	7	0.7023	0.3497	Begin	End	3	3	13.27	1.791
16	32	3	399	5	32.05	0.4966	-0.9932	400	8	0.3512	0.1748	Begin	End	3	3	13.27	1.791
17	34	3	399	7	34.05	0.4966	-0.9932	400	8	0	0	Begin	End	3	3	13.27	1.791
18	36	3	399	3	36.03	0.4966	-0.9932	400	8	0	0	Begin	End	3	3	13.27	1.791
19	38	3	399	6	38.03	0.4966	-0.9932	400	8	0.2483	0.1242	Begin	End	3	3	13.27	1.791
20	40	3	399	3	40.03	0.4966	-1.49	400	7	0.2483	0.1242	Begin	End	3	3	13.27	1.791
21	42	3	399	3	42.03	0.4966	-1.49	400	7	0	0	Begin	End	3	3	13.27	1.791
22	44	3	399	3	44.03	0.4966	-1.49	400	7	0	0	Begin	End	3	3	13.27	1.791
23	46	3	399	3	46.05	0.4966	-1.49	400	7	0.2483	0.1247	Begin	End	3	3	13.27	1.791
24	48	3	400	10	48.01	0	-1.49	399	7	0.4966	0.2494	Begin	End	3	3	13.27	1.791
25	50	3	399	11	50.03	0	-0.9932	399	8	0.2483	0.1237	Begin	End	3	3	13.27	1.791
26	52	3	398	4	52.03	0	-0.9932	399	8	0.3512	0.1748	Begin	End	3	3	13.27	1.791
27	54	3	397	3	54.05	-0.4966	-1.49	398	7	0.5995	0.2997	Begin	End	3	3	13.27	1.791
28	56	3	397	3	56.03	0	-1.49	399	7	0.4966	0.2504	Begin	End	3	3	13.27	1.791
29	58	3	396	3	58.01	-0.4966	-1.49	398	7	0.2483	0.1236	Begin	End	3	3	13.27	1.791
30	60	3	396	3	60.05	-0.4966	-1.49	398	7	0.2483	0.1231	Begin	End	3	3	13.27	1.791
31	62	3	395	3	62.05	-0.9932	-1.49	397	7	0.4966	0.2483	Begin	End	3	3	13.27	1.791
0	0	6	543	2	0	0	0	550	6	1.57	0.7736	Begin	End	6	6	20.08	3.18
1	2	6	545	2	2.03	1.49	-0.4966	553	5	1.034	0.5108	Begin	End	6	6	20.08	3.18
2	4	6	547	3	4.047	0.9932	-0.4966	552	5	0.4966	0.2473	Begin	End	6	6	20.08	3.18
3	6	6	548	4	6.047	0.9932	-0.9932	552	4	0.5995	0.301	Begin	End	6	6	20.08	3.18
4	8	6	550	6	8.03	0.4966	-0.4966	551	5	0.7023	0.3527	Begin	End	6	6	20.08	3.18
5	10	6	556	3	10.03	0	-0.9932	550	4	0.3512	0.1748	Begin	End	6	6	20.08	3.18
6	12	6	556	3	12.05	0	-0.9932	550	4	0.3512	0.1748	Begin	End	6	6	20.08	3.18
7	14	6	553	3	14.05	-0.4966	-1.49	549	3	0.7023	0.3527	Begin	End	6	6	20.08	3.18
8	16	6	554	3	16.03	0	-0.9932	550	4	0.8478	0.4239	Begin	End	6	6	20.08	3.18
9	18	6	555	3	18.05	0.9932	-0.9932	552	4	0.7449	0.374	Begin	End	6	6	20.08	3.18
10	20	6	557	3	20.01	1.49	-0.9932	553	4	0.5995	0.2985	Begin	End	6	6	20.08	3.18
11	22	6	558	3	22.06	1.986	-1.49	554	3	0.9064	0.4532	Begin	End	6	6	20.08	3.18
12	24	6	560	5	24.01	2.483	-0.4966	555	5	1.11	0.5552	Begin	End	6	6	20.08	3.18
13	26	6	561	5	26.06	3.476	-0.9932	557	4	0.9064	0.4514	Begin	End	6	6	20.08	3.18
14	28	6	563	3	28.03	2.98	-0.4966	556	5	0.3512	0.1771	Begin	End	6	6	20.08	3.18
15	30	6	563	3	30.03	2.98	-0.4966	556	5	0.3512	0.1748	Begin	End	6	6	20.08	3.18
16	32	6	563	3	32.05	2.483	-0.9932	555	4	0.7023	0.3497	Begin	End	6	6	20.08	3.18
17	34	6	561	4	34.05	1.986	-0.4966	554	5	0.5995	0.301	Begin	End	6	6	20.08	3.18
18	36	6	561	4	36.03	1.49	-0.4966	553	5	0.4966	0.2494	Begin	End	6	6	20.08	3.18
19	38	6	550	5	38.03	1.986	-0.4966	554	5	0.5995	0.2997	Begin	End	6	6	20.08	3.18
